links	resumes
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_047#histoire	Un père de famille, à sa mort, laissa deux orphelins : un fils, Daouda, et une fille, Aïssata…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_075#histoire	Il était une fois, dans une région lointaine du Viêt Nam, un jeune paysan prénommé Ngoc Tâm…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_027#histoire	Ulysse était absent depuis longtemps déjà, lorsque son fils Télémaque partit à sa recherche…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_048#histoire	Sur une île vivait Milad, pauvre femme qui ne possédait qu'un petit lopin de terre…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_001#histoire	L'oiseau vint dire à la poule : « Poule, tu as des ailes, pourquoi ne peux-tu pas prendre ton envol ?
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_031#histoire	Taqqiq était un jeune garçon inuit, connu dans la région pour sa beauté mais aussi pour sa cécité…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_023#histoire	Il y a plusieurs siècles, un roi nommé Midas régnait sur la Phrygie. Quelquefois, Dionysos se rendait dans ces contrées…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_088#histoire	L'Air et la Terre avaient une fille : Écho. Cette charmante nymphe vivait dans les bois…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_007#histoire	Au temps où notre seigneur Noé construisait l'arche, le sanglier vint la nuit la battre en brèche…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_076#histoire	Orphée avait reçu de sa mère le don merveilleux de la musique…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_068#histoire	Lorsque Zeus créa le monde, seuls les hommes peuplaient la Terre. Ils étaient protégés par Prométhée, un Titan…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_090#histoire	La déesse Déméter, protectrice de la Nature, avait une fille unique qu'elle chérissait…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_084#histoire	Vous vous souvenez de Sanna…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_067#histoire	Il était une fois un jeune homme, prénommé Urashimataro, qui vivait avec sa mère dans un petit village…
